Q3335660:1
Q4634172:1
Q3598794:1
Q4634219:0
Q4636563:0
Q238619:0
Q55783693:1
Q4677935:0
Q21006662:0
Q15460254:1
Q4936153:0
Q13359975:0
Q889441:0
Q65620006:0
Q2492696:0
Q4936774:1
Q4936903:0
Q4936906:0
Q4936907:0
Q4936912:0
Q15733239:0
Q108049203:0
Q1328199:0
Q1072278:0
Q4936965:0
Q908809:0
Q2086692:0
Q1986152:0
Q4477752:0
Q890877:0
Q4938225:1
Q193918:0
Q796231:0
Q15635160:0
Q2700304:1
Q56274100:0
Q4941544:0
Q826918:1
Q2304401:0
Q4941552:0
Q25339838:0
Q85748175:0
Q864868:1
Q848085:0
Q3480107:0
Q4941581:0
Q56014469:0
Q1419186:0
Q1328805:1
Q892776:1
Q4942905:0
Q4943142:0
Q18972025:0
Q17020770:0
Q942353:0
Q875276:0
Q4943512:1
Q4943770:0
Q893408:1
Q11861940:0
Q4944686:0
Q4944687:1
Q4944690:0
Q137446:0
Q4944909:0
Q9430213:1
Q20721592:0
Q15211646:0
Q223663:1
Q4946250:0
Q2205151:1
Q10270941:0
Q16844895:0
Q17113001:0
Q55784781:1
Q894369:0
Q106939365:0
Q4947690:0
Q4948236:0
Q4948376:0
Q69848575:0
Q18814788:0
Q4948817:0
Q4948827:0
Q4948831:0
Q4949035:0
Q845757:0
Q4949085:0
Q2520898:0
Q4949373:0
Q796341:0
Q19335653:0
Q895297:1
Q1777414:0
Q478428:0
Q24808664:0
Q24808686:0
Q4950554:0
Q4950557:0
Q18964929:0
Q4950561:0
Q24808765:0
Q895363:0
Q895365:0
Q552330:1
Q4950566:0
Q154666:1
Q4950793:0
Q4950790:0
Q4950796:0
Q16244733:0
Q895414:1
Q18553398:1
Q29002480:0
Q17125521:0
Q4951681:1
Q4952010:0
Q2517861:0
Q4953340:0
Q42649:0
Q5136452:1
Q2923350:1
Q303097:0
Q18210379:0
Q26468:0
Q881855:1
Q22236242:0
Q1944248:0
Q842206:0
Q188638:0
Q11883221:0
Q7309604:0
Q580285:1
Q12211073:1
Q1948740:1
Q4670:0
Q6917865:0
Q6922203:0
Q2736268:0
Q15731494:0
Q1952340:0
Q6934605:0
Q866602:1
Q11827794:0
Q6934921:0
Q1452604:1
Q467635:1
Q6934963:0
Q8277:1
Q93629491:1
Q1064412:0
Q176741:0
Q18974626:0
Q1955408:0
Q536046:0
Q7966693:0
Q24975519:1
Q2300699:1
Q281606:0
Q7975567:0
Q7977966:0
Q633403:1
Q3961695:1
Q903057:0
Q900233:0
Q324467:0
Q653078:1
Q17148590:0
Q134859:0
Q7998708:0
Q1059529:0
Q5318961:0
Q5318982:0
Q5319002:0
Q1268968:0
Q3298111:0
Q5319323:0
Q2336418:1
Q225957:1
Q5319350:1
Q3709266:0
Q5319369:1
Q1269236:0
Q3042094:0
Q1280963:0
Q824595:0
Q129279:1
Q48998272:0
Q1269376:0
Q5319404:0
Q3042106:0
Q1269251:0
Q584560:0
Q629444:0
Q1087232:1
Q1476525:1
Q1269288:0
Q816422:1
Q517183:0
Q1269290:0
Q2705600:1
Q690210:1
Q1269307:1
Q120395:0
Q623289:0
Q5319553:0
Q5319554:0
Q5319564:0
Q559435:0
Q3650238:0
Q5319589:0
Q55785972:0
Q1269399:0
Q158103:0
Q1270758:0
Q3466680:0
Q5322931:1
Q5323525:0
Q282208:0
Q628648:1
Q3772316:0
Q1596398:0
Q1250180:0
Q5326574:0
Q5326720:0
Q2005391:0
Q5326887:1
Q57157864:1
Q17147211:0
Q2510357:0
Q1348952:0
Q19571551:0
Q481392:1
Q177254:0
Q18371582:1
Q65086757:0
Q5435590:0
Q1396859:0
Q2140729:1
Q6972442:1
Q17002709:0
Q11331992:0
Q5437240:1
Q2949807:0
Q862872:1
Q5437988:1
Q5438140:0
Q1348374:1
Q2160101:1
Q2157065:1
Q169922:1
Q5439603:0
Q5439604:0
Q3775974:0
Q1514476:0
Q5439719:0
Q5439728:0
Q1938763:0
Q1785462:0
Q1399440:1
Q5441566:1
Q2949763:0
Q17113417:0
Q472664:1
Q5186557:0
Q16928419:0
Q5190923:0
Q18965358:0
Q4338645:1
Q28449227:0
Q16525336:1
Q32136782:1
Q17147560:0
Q7834605:0
Q55636124:0
Q2148152:0
Q3030745:1
Q104879097:0
Q1243869:0
Q4116442:0
Q7933588:1
Q7840768:0
Q3508794:1
Q48817400:1
Q48817684:0
Q55782697:1
Q107394646:0
Q91895631:0
Q85812811:0
Q108084829:0
Q405385:1
Q2161046:0
Q4419859:0
Q1367304:1
Q4698338:0
Q3607182:0
Q4698379:0
